Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO
747.187	-5.109729245154667e-10	4.403457183413174e-09	4.04029311359515e-08
751.547	-3.631778625255397e-11	1.1973809284508484e-09	1.469852077248709e-08
756.016	3.104141842680195e-11	4.1166055237559636e-10	5.284925211358258e-09
760.625	-1.031889541390263e-11	1.7323994260481145e-10	1.8888878995900164e-09
765.266	-1.3612675993305938e-11	9.243597565048187e-11	6.624058477204919e-10
770.078	-1.074411291039303e-11	5.327240967302167e-11	2.3854894737767734e-10
775.078	-8.797221168317166e-12	3.354357919250914e-11	8.790832010198832e-11
780.25	-6.556447074401232e-12	1.575705832289303e-11	4.6979986935942456e-11
785.375	-4.156799239673612e-12	1.492004811485691e-11	2.2819002185153285e-11
790.609	-4.6996439115970255e-12	1.4382424645622804e-11	1.457457262382034e-11
796.031	-3.867655730455868e-12	1.187173449565255e-11	9.735119599287187e-12
801.437	-2.7061739977773312e-12	8.424256543327346e-12	7.44905024524192e-12
806.844	-2.5294747530446245e-12	6.6748476608007e-12	7.37594642781098e-12
812.25	-4.3801523095339304e-12	1.2714006603555159e-11	4.579193231752481e-12
817.656	-1.7594261370731618e-12	4.846508263510919e-12	4.0805173247535375e-12
823.062	-1.3924276360921737e-13	6.732737325104363e-13	4.1776392334367e-12
828.484	-1.8395761621659983e-12	4.814762903083489e-12	2.9129731029961916e-12
833.891	-1.7964158102164487e-12	5.389769516631227e-12	9.673618648500596e-13
839.297	4.824942632666673e-13	-1.4245065889056357e-12	1.4049396682087134e-12
844.703	1.3831284155031892e-12	-4.352458398593452e-12	4.810746000262155e-13
850.109	-3.155128174846617e-13	5.526082539159179e-13	4.075878542108246e-13
855.531	4.503096193118433e-13	-1.5173459130151862e-12	5.898592761411472e-13
860.937	-3.911690438000274e-13	3.302498168399257e-13	-5.897284202087773e-13
866.328	-9.308667269952873e-14	5.730584251141567e-13	-4.92639829880262e-13
871.734	1.0187224555567194e-12	-2.971760219293219e-12	-9.062017632103327e-13
877.156	1.1254954417494556e-12	-3.3513825485483498e-12	-2.944070339320491e-13
882.562	3.429495372303454e-12	-9.649773662715212e-12	-2.7810518075539e-13
887.969	8.558729796673181e-13	-2.630954919035595e-12	-2.710191231665121e-13
893.375	1.9193859441682988e-12	-5.968953313235888e-12	-8.581322623512394e-13
898.781	3.4132901719740586e-12	-9.624466928009004e-12	-1.1734212409352572e-12
904.187	8.155434064370038e-13	-2.4998764035357694e-12	-1.2596862606670218e-12
909.594	3.61569026635362e-12	-1.0065179101884682e-11	-2.013701867448937e-12
915.0	1.3709599869985408e-09	-9.41133024017634e-09	2.074197596864516e-08
920.406	-6.61228902743204e-10	1.9057712013475356e-10	1.2764513890468397e-07
925.297	-9.05939513795743e-10	4.308127772024074e-09	1.659464379196814e-07
929.594	-4.5537754458790493e-10	4.607397983359108e-09	1.7701126404123285e-07
933.875	-3.314940875990549e-10	2.964462526307727e-09	1.855226709171785e-07
938.297	-1.4974433274905492e-09	1.1696632488772063e-08	1.242406196978413e-07
942.734	-5.796240554665814e-10	5.1376560525269555e-09	4.951056067214057e-08
947.094	-1.7784741467746442e-10	1.8035404720943624e-09	1.7933286125523967e-08
951.594	-2.2984683099829675e-11	5.184622744186617e-10	6.519512252034566e-09
956.125	1.1957065880839419e-11	1.5998901983237434e-10	2.323403414523481e-09
960.844	-1.6359595303590026e-11	1.1561486183957457e-10	7.981714883316582e-10
965.719	-1.2310975610456907e-11	5.851685872600872e-11	2.8834961452037197e-10
970.687	-1.010175065140332e-11	3.684595830044479e-11	1.0877016511810967e-10
975.797	-7.104178747881662e-12	1.9822143759832028e-11	5.2861634870476434e-11
981.062	-5.4976373357822355e-12	1.7725502498772662e-11	2.793493532797742e-11
986.391	-6.0839792843397485e-12	1.8549853329536118e-11	1.6796841678148905e-11
991.734	-3.5177105520568903e-12	1.0451506747485929e-11	1.289346688730555e-11
997.156	-4.297824168983248e-12	1.3294750439607037e-11	9.075381546798868e-12
1002.56	-2.865933093649612e-12	8.92991906264215e-12	7.555333513326163e-12
1007.97	-2.8270939310406452e-12	8.125564314978592e-12	6.716210596546301e-12
1013.37	-3.0635955890519785e-12	9.204356864727475e-12	4.3450139414903065e-12
1018.78	-2.096769787968225e-12	6.289978602212969e-12	3.42077705104157e-12
1024.2	-2.3564206743967545e-12	6.121899834545065e-12	3.8583859515312266e-12
1029.61	-1.9946733609203903e-12	5.5328838508519475e-12	2.8490350874136175e-12
1035.02	-1.393860036855616e-12	4.629435318630522e-12	3.027438367597574e-13
1040.42	-6.971107745428393e-13	1.8171465302897556e-12	1.0856530679485943e-12
1045.83	-2.4488760312407446e-12	6.722479687054908e-12	1.0125559141885827e-12
1051.23	-3.895229528198659e-13	7.445422231727174e-13	7.69208600854395e-13
1056.66	-5.4764412779197996e-14	1.5148457580838315e-13	-2.4009783879035003e-13
1062.06	-1.2266416312103466e-13	8.308165405760256e-13	-4.834451521245345e-13
1067.47	5.279183576935025e-13	-1.663290766552762e-12	4.019187756958683e-14
1072.87	1.022475730445023e-12	-2.252973010885375e-12	-9.701175665564779e-13
1078.28	-2.411601991788154e-13	4.2459483041808826e-13	-1.0432147203164859e-12
1083.7	1.4356477482403117e-12	-3.327582982819108e-12	-1.2865176091778089e-12
1089.11	4.788988871522537e-13	-7.543841074365246e-13	-1.2745007892689467e-12
