Name,RS,Electron Number,Type,sourceOfIonizationData
Ethanol,3.6,26,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Ethanol,2.9,26,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Isoamyl Alcohol,2.9,78,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Methanol,1.8,18,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Methanol,1.9,18,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Phenol,6.2,50,Alcohol; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Acetaldehyde,2.6,24,Aldehyde; Hydrogen non-metal-ides,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Cesium,4.3,55,Alkali Metal,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Cesium,2,55,Alkali Metal,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Cesium,4.8,55,Alkali Metal,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
Lithium,1.9,3,Alkali Metal,UHV-24/UHV-24p Ionization Gauge Instruction Manual - Table A1 - https://www.mksinst.com/docs/ur/GaugeGasCorrection.aspx  
