Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO
747.187	2.2123393907115697e-10	3.6857022919372187e-10	4.396780511475689e-08
751.547	8.260324828799467e-11	1.4604745098577736e-10	1.59996904602812e-08
756.016	9.11420213700762e-11	-4.502855924609251e-10	6.483325957429273e-09
760.625	8.417084776913635e-11	-6.323145005471661e-10	3.059872616287895e-09
765.266	7.937451034046564e-11	-6.934249001292438e-10	1.8239058942517409e-09
770.078	7.688321885650593e-11	-7.042739593876446e-10	1.3792826451401996e-09
775.078	7.845795972153186e-11	-7.19655002821988e-10	1.2256287122173853e-09
780.25	7.630426949363255e-11	-7.177769777721869e-10	1.168813641096152e-09
785.375	7.662622761401013e-11	-7.091498743474497e-10	1.1368817293469398e-09
790.609	7.635883536210067e-11	-7.106474168229801e-10	1.1291648553411132e-09
796.031	7.57787863137334e-11	-7.06746644288294e-10	1.1188958370433167e-09
801.437	7.472260192435953e-11	-7.002772293629303e-10	1.108352538884056e-09
806.844	7.541114962379073e-11	-7.040651258925727e-10	1.1096044642603627e-09
812.25	7.593331841294807e-11	-7.081855731337628e-10	1.1146960276905243e-09
817.656	7.473265681762169e-11	-6.991308720083294e-10	1.100290619641064e-09
823.062	7.446364132477388e-11	-6.948609575438096e-10	1.0932904442239872e-09
828.484	7.448997243959115e-11	-6.980336840785367e-10	1.097626583578793e-09
833.891	7.420196875179844e-11	-6.958086567533254e-10	1.0940561472175671e-09
839.297	7.363950809951e-11	-6.899871914394161e-10	1.0840272238669546e-09
844.703	7.274261162052131e-11	-6.848313886988795e-10	1.0763231451999898e-09
850.109	7.367908582425254e-11	-6.912642440570413e-10	1.0850537005176629e-09
855.531	7.360108044425826e-11	-6.894344365221717e-10	1.0817982483286354e-09
860.937	7.375487649899886e-11	-6.900487698687385e-10	1.08229020905726e-09
866.328	7.373342386943101e-11	-6.898968673453413e-10	1.0821683395791051e-09
871.734	7.304471187435822e-11	-6.853607765537541e-10	1.074959807893569e-09
877.156	7.32003217529814e-11	-6.857506177417136e-10	1.0752712058129635e-09
882.562	7.284000388621725e-11	-6.801738143453439e-10	1.0654362937195953e-09
887.969	7.318672464568761e-11	-6.85749273091118e-10	1.0752703092497626e-09
893.375	7.253306238747653e-11	-6.813664294735235e-10	1.0681845436055824e-09
898.781	7.208879821031996e-11	-6.763302791390389e-10	1.0605705379817251e-09
904.187	7.285611581213096e-11	-6.837447039727277e-10	1.0718777460081642e-09
909.594	7.210657280812597e-11	-6.75558410665569e-10	1.0581645858869792e-09
915.0	-1.4003246119677445e-10	-3.3344120636168013e-09	1.6249221351434095e-08
920.406	2.0202887387949977e-10	-5.382285102909651e-09	1.3195097316062997e-07
925.297	4.669304038632485e-10	-3.91503419204311e-09	1.7217866848517257e-07
929.594	1.648651997632888e-10	-4.1620470067583563e-10	1.806142927693862e-07
933.875	4.00158464533125e-10	-2.6352922732270395e-09	1.895355743018701e-07
938.297	4.071333621685967e-10	1.5855160686535466e-09	1.3223502724260867e-07
942.734	8.308978244780927e-11	1.3121827351156855e-09	5.284965297558616e-08
947.094	1.2259959832517805e-10	-7.683538667396157e-11	1.987327555532541e-08
951.594	9.212253775878286e-11	-4.2049906304746986e-10	7.762385104053202e-09
956.125	7.442723998243402e-11	-5.66639713815828e-10	3.4177316887183244e-09
960.844	8.133094283991553e-11	-6.851113960996021e-10	1.959991004667483e-09
965.719	7.641865650048938e-11	-6.971824929589658e-10	1.4164251970242436e-09
970.687	7.599854159203061e-11	-7.041573878348299e-10	1.2256936308024555e-09
975.797	7.502251595085957e-11	-7.032465228981387e-10	1.1553606015229431e-09
981.062	7.65980322913135e-11	-7.048288846572481e-10	1.129837205610003e-09
986.391	7.492285859591891e-11	-6.989729980811873e-10	1.114440819110329e-09
991.734	7.404327230572279e-11	-6.917728693516203e-10	1.0979525699634512e-09
997.156	7.434990054744038e-11	-6.934260626501266e-10	1.097492943266382e-09
1002.56	7.36109776137046e-11	-6.881113801320918e-10	1.0878739766700951e-09
1007.97	7.387288677240372e-11	-6.896852605424105e-10	1.0873511738259459e-09
1013.37	7.349181727080899e-11	-6.877505917580393e-10	1.084015510789021e-09
1018.78	7.331132646023105e-11	-6.854365849893488e-10	1.0785870867031463e-09
1024.2	7.326327984281922e-11	-6.863305196719913e-10	1.0793066482504642e-09
1029.61	7.313481379478681e-11	-6.845706124711406e-10	1.07610809626611e-09
1035.02	7.282167944566424e-11	-6.812699116256647e-10	1.0698879688538281e-09
1040.42	7.23587271869348e-11	-6.788029116841044e-10	1.0661253143617597e-09
1045.83	7.311813888247493e-11	-6.846940233309095e-10	1.074422602281883e-09
1051.23	7.24408596734445e-11	-6.784867507808265e-10	1.0640849707014787e-09
1056.66	7.223262480553204e-11	-6.764942835177959e-10	1.060700476528689e-09
1062.06	7.25788942996403e-11	-6.774272130677084e-10	1.0614460384088342e-09
1067.47	7.207303678177496e-11	-6.746564080793532e-10	1.0574396449604556e-09
1072.87	7.192281799080279e-11	-6.722203351014896e-10	1.053697611422009e-09
1078.28	7.202680398824585e-11	-6.75325850603389e-10	1.0579786436985436e-09
1083.7	7.199105325664682e-11	-6.713785662940005e-10	1.0512347591225897e-09
1089.11	7.148166885900975e-11	-6.71802256251024e-10	1.0533673856753945e-09
