Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO
747.187	7.279763219070503e-10	1.813835614269416e-09	1.326613656547949e-09
751.547	5.057496433543036e-09	1.3151113458643194e-08	7.028973031269289e-09
756.016	5.479345992252901e-09	1.4231883602674024e-08	7.662193492407096e-09
760.625	1.946810325906754e-09	5.044857905244017e-09	2.763079314858524e-09
765.266	7.104105330794994e-10	1.8397470584935e-09	1.0153828350955048e-09
770.078	2.587409634761022e-10	6.69960705506977e-10	3.7062943817971847e-10
775.078	9.275403334895586e-11	2.4062153645449025e-10	1.3337242616266914e-10
780.25	3.0279735599125315e-11	7.675811543198506e-11	4.004917838632027e-11
785.375	1.0934328901392322e-11	2.6502822167545055e-11	1.2355419051817056e-11
790.609	6.427916702393178e-12	1.3210666207089037e-11	6.546602593378131e-12
796.031	5.112602690341123e-12	8.176760444343235e-12	2.4802583230516274e-12
801.437	5.069440213791109e-12	8.22120823183369e-12	2.0618601130691697e-12
806.844	5.06093941280309e-12	8.232909769651446e-12	1.5130079302211516e-12
812.25	5.213646640995484e-12	8.839723274977616e-12	1.3341685088929132e-12
817.656	4.963293403564688e-12	7.840018599749434e-12	1.3688818745802846e-12
823.062	5.089634198232276e-12	8.558432294410229e-12	1.1493207409909983e-12
828.484	4.907255945371751e-12	7.594181040736643e-12	1.1911306405398164e-12
833.891	5.020876412615719e-12	8.153006119935424e-12	1.3605600628728463e-12
839.297	4.821505094696772e-12	7.360832730091437e-12	1.0749552644407273e-12
844.703	5.092493158480363e-12	8.723008991458978e-12	9.478530798796154e-13
850.109	4.896916273007774e-12	7.703480205994823e-12	9.550918204372933e-13
855.531	4.826379789110011e-12	7.419848799687552e-12	1.0763843952543366e-12
860.937	4.808222973199856e-12	7.30187342192918e-12	9.765568978175828e-13
866.328	4.863003425009464e-12	7.573145550008268e-12	8.985013886924065e-13
871.734	4.810651663480816e-12	7.408783294070576e-12	9.358658437788366e-13
877.156	4.853883087337071e-12	7.645995274245975e-12	8.935108666539797e-13
882.562	5.095230816526051e-12	8.926393058954478e-12	8.776602165186345e-13
887.969	4.998226183199611e-12	8.328447990834879e-12	9.075375665509336e-13
893.375	4.888092680649473e-12	7.893860388829871e-12	8.508688431411877e-13
898.781	5.0948446009305155e-12	8.946533270527963e-12	8.512480961222035e-13
904.187	5.217353731969219e-12	9.33428826657479e-12	8.748792945153833e-13
909.594	5.672724551342952e-09	1.4930542830674798e-08	1.0098090911434367e-08
915.0	3.378726246838891e-08	8.789640297626507e-08	4.6924379568879373e-08
920.406	1.687278372263304e-08	4.3946668584335264e-08	2.402756377604591e-08
925.297	1.949106165729772e-08	5.083504386241163e-08	2.7857490206987347e-08
929.594	7.048522531143765e-09	1.7966234398010418e-08	1.0164956262468238e-08
933.875	2.2290629595670393e-08	5.82344277649509e-08	3.4978118027794316e-08
938.297	1.8743566422865757e-08	4.8603550453979926e-08	2.6164838955760248e-08
942.734	1.2017325509922503e-08	3.132439941990693e-08	1.7901243027004572e-08
947.094	1.533624905512118e-08	3.986617802558981e-08	2.1818252212153313e-08
951.594	6.5671178700739e-09	1.705072554688764e-08	9.239403728782326e-09
956.125	2.4242448338582393e-09	6.291726276602927e-09	3.392101703406255e-09
960.844	8.961622453696065e-10	2.3235661589324084e-09	1.280098596635089e-09
965.719	3.129182485241714e-10	8.106312314439052e-10	4.541609091148377e-10
970.687	1.0938922054252955e-10	2.8314313185932986e-10	1.551093677683372e-10
975.797	3.790396656532373e-11	9.726768275987185e-11	5.15802915371932e-11
981.062	1.3125121459813326e-11	3.2640874304198046e-11	1.5632343332929327e-11
986.391	6.4675098364534175e-12	1.3291372182959313e-11	7.407853770014225e-12
991.734	5.372352645552967e-12	9.628885575350289e-12	2.574184849648329e-12
997.156	4.954851836586762e-12	7.890795482107175e-12	1.6223159094174926e-12
1002.56	4.8638672439386285e-12	7.585912095355157e-12	1.4647523647726076e-12
1007.97	4.829753288902582e-12	7.441908622868084e-12	1.2424067304715977e-12
1013.37	4.817948069935083e-12	7.379015641150203e-12	1.1351338856699086e-12
1018.78	4.8382583081609105e-12	7.554981525648823e-12	1.4182553063100455e-12
1024.2	4.790704004849412e-12	7.321508236454073e-12	1.1211073594509274e-12
1029.61	4.825717082696227e-12	7.521306260497757e-12	1.4646832452025603e-12
1035.02	4.795017162069147e-12	7.410310998605993e-12	1.6016232087003552e-12
1040.42	4.92928666835497e-12	8.139044699341863e-12	1.1493660960526567e-12
1045.83	5.0104883458396465e-12	8.416028486161772e-12	9.462946727648276e-13
1051.23	4.792223560302002e-12	7.532963488692446e-12	9.726932838076241e-13
1056.66	4.772681627012243e-12	7.463704838182918e-12	8.952113101540938e-13
1062.06	4.717391367791909e-12	7.182998385019463e-12	1.0150470212480553e-12
1067.47	4.696495182065047e-12	7.14320006975979e-12	1.054324956022699e-12
1072.87	4.739530658525964e-12	7.394663707293097e-12	9.042828380027167e-13
1078.28	4.784662229928495e-12	7.533575753489781e-12	8.512935747820783e-13
1083.7	4.745611572831663e-12	7.4640543169441e-12	8.190866645666403e-13
1089.11	4.787900909991171e-12	7.594481979233349e-12	8.204406331308913e-13
