Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO
747.187	7.27263362561108e-10	1.8045531721431224e-09	1.3231088001871722e-09
751.547	5.057463170702827e-09	1.3150901813107163e-08	7.053415937715961e-09
756.016	4.095263246085079e-09	1.4231842828928234e-08	7.68905997454714e-09
760.625	1.946794509503774e-09	5.0448241431870105e-09	2.7727554154310978e-09
765.266	7.103827730619822e-10	1.8397077191951957e-09	1.0189272277382398e-09
770.078	2.586818134603652e-10	6.698964867848304e-10	3.71910895714772e-10
775.078	9.260803436525015e-11	2.404803169593625e-10	1.3381906241115113e-10
780.25	2.985718530223366e-11	7.636094539889284e-11	4.0147136563964006e-11
785.375	9.737435465564238e-12	2.5381765291461094e-11	1.2316240989022272e-11
790.609	4.0884153468940566e-12	1.083259854423447e-11	6.447941974704142e-12
796.031	1.3494425994597717e-12	3.2640594574783753e-12	2.209241485033743e-12
801.437	1.300799973058309e-12	3.4997078513568167e-12	1.7592846371577718e-12
806.844	1.3126623803547268e-12	3.577518753057948e-12	1.0603921919112911e-12
812.25	1.7178643865638495e-12	4.744303873238512e-12	8.755148655039772e-13
817.656	9.977881296248905e-13	2.691487424623496e-12	9.437565008663164e-13
823.062	1.6141177087999323e-12	4.445701527619409e-12	5.744274011580118e-13
828.484	7.135627111641147e-13	1.9222526471189733e-12	7.061859046278541e-13
833.891	1.29462075015744e-12	3.5583650351720935e-12	1.021006517262476e-12
839.297	4.63762078613286e-13	1.2284054694963193e-12	5.652668187006278e-13
844.703	1.7728349637390613e-12	4.9042384177823164e-12	3.360390760869301e-13
850.109	9.302498444355495e-13	2.562705818553832e-12	3.6170780710958245e-13
855.531	5.959713052306712e-13	1.6306429915670727e-12	6.082240947952092e-13
860.937	4.567993406404981e-13	8.954902849705489e-13	4.787267319749995e-13
866.328	8.039489576954858e-13	2.2012888245930222e-12	2.77652613692693e-13
871.734	6.454763042341887e-13	1.7511582595339557e-12	4.1252742847161376e-13
877.156	9.356467860658961e-13	2.5879332766207176e-12	2.4364425089520046e-13
882.562	1.939703161025612e-12	5.385566997223427e-12	1.7910298362830932e-13
887.969	1.5153025983058001e-12	4.195069607561657e-12	2.9118356101270413e-13
893.375	1.213756595202701e-12	3.348580652806239e-12	1.334571375170081e-13
898.781	1.9617476243019727e-12	5.4433196792918126e-12	1.9438281341258563e-13
904.187	2.1495073983517157e-12	5.968520734576766e-12	2.8726101008478933e-13
909.594	5.6727226115246135e-09	1.4930541151690375e-08	1.013355270884743e-08
915.0	3.378726387643434e-08	8.789635630704929e-08	4.7089099041708115e-08
920.406	1.6872684828412152e-08	4.394327063470964e-08	2.4107784023330213e-08
925.297	1.949093455194422e-08	5.0830123389158464e-08	2.7949306380318663e-08
929.594	7.0481404286838225e-09	1.795042279017874e-08	1.018192381184281e-08
933.875	2.2290502472095607e-08	5.822908221692972e-08	3.509498523595442e-08
938.297	1.8743466268339883e-08	4.860061743096585e-08	2.6253102123226915e-08
942.734	1.201727290589161e-08	3.132361887790732e-08	1.7963220720772625e-08
947.094	1.5336235158605796e-08	3.986608002972713e-08	2.1894762099907935e-08
951.594	6.5671061274993325e-09	1.705068018502456e-08	9.271803201013398e-09
956.125	1.812006377220223e-09	6.291693764980843e-09	3.4039853021550546e-09
960.844	8.961390691726913e-10	2.3235312479463133e-09	1.284573406741558e-09
965.719	3.128692181176962e-10	8.105764616300271e-10	4.557362875302279e-10
970.687	1.0926742293126932e-10	2.830228805802927e-10	1.5563183578958682e-10
975.797	3.75762595122363e-11	9.696005490670241e-11	5.172572118676747e-11
981.062	1.2173280117097778e-11	3.175782773488264e-11	1.561437546971797e-11
986.391	4.2276366330268585e-12	1.0992489373689989e-11	7.320979303251844e-12
991.734	2.355513051635002e-12	6.217178082387381e-12	2.2851773831450187e-12
997.156	1.068120359650269e-12	2.860210875581508e-12	1.1865135340217142e-12
1002.56	7.753390118490068e-13	2.0944461786457126e-12	1.0011683715596071e-12
1007.97	5.890084451906138e-13	1.580280359045593e-12	6.654912708666337e-13
1013.37	4.827887077486517e-13	1.2991014861958836e-12	5.619887665821876e-13
1018.78	8.198445400063695e-13	2.2223536016680535e-12	1.0466155799460468e-12
1024.2	4.671651508976515e-13	1.2281724760916464e-12	5.590513985217337e-13
1029.61	8.076997382245744e-13	2.1750628334104274e-12	1.123833461546786e-12
1035.02	7.1602587719441e-13	1.880397063214558e-12	1.3509323491934942e-12
1040.42	1.4161548786110022e-12	3.91148983723678e-12	7.286450448433293e-13
1045.83	1.5783672551063447e-12	4.377718186418782e-12	3.261027789875403e-13
1051.23	8.943497584605856e-13	2.4747496992203935e-12	4.149623737031816e-13
1056.66	8.412113951242927e-13	2.3111302808934395e-12	2.865013311479598e-13
1062.06	4.232887173730553e-13	1.0976446247011911e-12	5.713348604590414e-13
1067.47	3.9525349743526195e-13	1.0199972153075361e-12	6.172240539623201e-13
1072.87	8.185643453540324e-13	2.2250969114491653e-12	3.74932639667772e-13
1078.28	9.54504992696247e-13	2.580912492601294e-12	2.2615215601125362e-13
1083.7	9.287540392539821e-13	2.510611837200027e-12	1.0670311103279294e-13
1089.11	8.121354186668986e-13	2.8128664848235177e-12	1.1517259277139314e-13
