Source:,Measured,Measured,Measured,NIST Webbook
Molecules,Acetylene,Ethylene,Ethane,Ethanol
Electron Numbers,14,16,18,26
Molecular Mass,26.04,28.05,30.07,46.07
12,1.08E-10,5.53E-11,1.90E-10,2
13,2.44E-10,7.92E-11,3.70E-10,13.9
14,1.73E-11,1.36E-10,1.26E-09,14.5
15,1.49E-11,1.66E-11,1.72E-09,66.4
16,2.25E-11,6.84E-12,4.51E-11,0
17,3.32E-11,3.57E-11,3.47E-11,7
21,9.20E-14,7.15E-14,2.80E-13,0
22,5.61E-13,7.89E-14,1.37E-13,0
24,1.30E-10,3.96E-11,6.32E-11,0
25,4.57E-10,1.22E-10,2.26E-10,0
26,2.07E-09,7.42E-10,8.18E-10,98.5
27,4.30E-11,7.56E-10,5.99E-10,224.1
28,1.82E-10,1.22E-09,1.03E-09,34.5
29,2.47E-12,2.48E-11,3.46E-10,298.5
30,5.28E-13,3.31E-13,6.71E-10,81.2
31,0.00E+00,0.00E+00,0.00E+00,999.9
