Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	Ethanol Concentration Relative to CO
747.187	2.863630025406669e-10	7.86432346479513e-10	9.440219635171995e-10	4.579563652955601e-10
751.547	1.9928959066107087e-09	7.590539096127629e-09	1.159597622200128e-08	5.4306043531142676e-09
756.016	2.1804321669825626e-09	8.294186319271246e-09	1.2533231053616007e-08	5.871711889031603e-09
760.625	7.866739310556914e-10	2.9810841908491167e-09	4.4166318077732876e-09	2.072734098660538e-09
765.266	2.860845150924818e-10	1.0804339693565377e-09	1.6000189136035908e-09	7.521367785208125e-10
770.078	1.0397832029466692e-10	3.9204245649571843e-10	5.812622274702805e-10	2.741007918437043e-10
775.078	3.8519049063929513e-11	1.4866982563952713e-10	2.1248933779368616e-10	1.0156665441939994e-10
780.25	1.8139694633188192e-11	7.109538881384569e-11	8.335239821075241e-11	4.3667549332597805e-11
785.375	1.2344353430531502e-11	5.1651792798954946e-11	4.899895168859487e-11	2.960311315518403e-11
790.609	1.175888928550641e-11	4.97523262573752e-11	4.3736050197363404e-11	2.7701921287978257e-11
796.031	1.1663650807391877e-11	4.9346595084237645e-11	4.280885384770584e-11	2.734937658445843e-11
801.437	1.1548141142935233e-11	4.8909552616671647e-11	4.247605440062342e-11	2.7138563363932296e-11
806.844	1.1570954120910292e-11	4.901302896066584e-11	4.260413960708075e-11	2.7207257703968136e-11
812.25	1.1636323359576356e-11	4.9311483075129085e-11	4.297323670576041e-11	2.740557370018252e-11
817.656	1.1500134665049982e-11	4.8735497585346104e-11	4.228880047849604e-11	2.7039224662855713e-11
823.062	1.1424191237273515e-11	4.841842678476127e-11	4.2173558110285264e-11	2.6907700030884715e-11
828.484	1.1477695002176481e-11	4.864600727532781e-11	4.2173982145788146e-11	2.6979259638610538e-11
833.891	1.1453203638905606e-11	4.8560988274962707e-11	4.218826717228994e-11	2.6959770498939044e-11
839.297	1.1326678422288288e-11	4.799554837968427e-11	4.1594351857514766e-11	2.661343359392138e-11
844.703	1.126282310871091e-11	4.775276635768506e-11	4.164659083141155e-11	2.6554352748626213e-11
850.109	1.1361419214356048e-11	4.8169295662459336e-11	4.179440112083861e-11	2.6726404880175014e-11
855.531	1.1318431256933832e-11	4.797773554307384e-11	4.158297533352095e-11	2.6605654493492555e-11
860.937	1.1322455199806152e-11	4.7992506802994226e-11	4.1577207395572636e-11	2.660847068904926e-11
866.328	1.1329077764091907e-11	4.8028205649019724e-11	4.16545058420763e-11	2.6642264849184363e-11
871.734	1.1255782604567572e-11	4.7718286508759604e-11	4.136230102948296e-11	2.6464003745901673e-11
877.156	1.1267967079057213e-11	4.778266894256526e-11	4.1458131752959045e-11	2.6511716611808368e-11
882.562	1.1172887770495372e-11	4.740097451074046e-11	4.139206916097196e-11	2.6374682926653783e-11
887.969	1.1264463623395348e-11	4.776891282244767e-11	4.157810088427228e-11	2.6541486512100972e-11
893.375	1.120398932168053e-11	4.752117913902452e-11	4.128152095012425e-11	2.638282551543349e-11
898.781	1.1118137872431423e-11	4.7165490948232684e-11	4.1198622325374043e-11	2.6248713063320382e-11
904.187	1.123532399245151e-11	4.7664431156083e-11	4.169844346539265e-11	2.654347314202423e-11
909.594	1.3907944847994494e-09	6.006486353387504e-09	9.356284203091564e-09	4.560626833390279e-09
915.0	1.3369421819571102e-08	5.1152720547263836e-08	7.774639550765688e-08	3.6432668351428305e-08
920.406	6.4853086715850066e-09	2.490827292747623e-08	3.801320318518122e-08	1.7835654375322444e-08
925.297	7.30912215877789e-09	2.809839666100697e-08	4.35845696194207e-08	2.042532007758942e-08
929.594	3.0899725934128426e-09	1.1017260785397747e-08	1.5532957525080773e-08	7.278791171778522e-09
933.875	7.661343118288998e-09	3.008822890345548e-08	4.5654506058126076e-08	2.173693268362875e-08
938.297	7.50990159802498e-09	2.830549879686186e-08	4.2786945797042714e-08	2.003840891144664e-08
942.734	4.387703414268418e-09	1.6905636135507857e-08	2.592558536981503e-08	1.2244992732381566e-08
947.094	6.008651991491363e-09	2.295844044926571e-08	3.464010591702886e-08	1.626706406375634e-08
951.594	2.6330635571121567e-09	1.0041062809570672e-08	1.500679700514483e-08	7.0334242440049204e-09
956.125	9.707352222340402e-10	3.6842135633280907e-09	5.544320128454109e-09	2.5986888946894284e-09
960.844	3.580960937944647e-10	1.358049382158075e-09	2.0199943055864725e-09	9.496881985974904e-10
965.719	1.2553842160086855e-10	4.765372359769544e-10	6.985806038087871e-10	3.291639637547077e-10
970.687	4.540547914965464e-11	1.7236814140274943e-10	2.5048712236511107e-10	1.191480103500185e-10
975.797	1.9583719259818597e-11	7.631886790621616e-11	9.682363804955259e-11	4.928010390221064e-11
981.062	1.2730742973818706e-11	5.312417421578932e-11	5.220756502800564e-11	3.05573584227941e-11
986.391	1.1635783523673192e-11	4.9175308741337435e-11	4.3064199667401796e-11	2.730333937476443e-11
991.734	1.1429413710937911e-11	4.834206716379477e-11	4.226948397445395e-11	2.6909460881207868e-11
997.156	1.1413619211792033e-11	4.831510986246479e-11	4.1957495462960973e-11	2.6804886940668045e-11
1002.56	1.1319084300717953e-11	4.792441764833732e-11	4.157807236340533e-11	2.6580371393682694e-11
1007.97	1.1333389951908522e-11	4.800058838555674e-11	4.162220550288944e-11	2.6616881140571652e-11
1013.37	1.131279139981346e-11	4.792798581570503e-11	4.1543564943989845e-11	2.6575464083327137e-11
1018.78	1.12691183102671e-11	4.775632870701513e-11	4.1412545114680144e-11	2.6487482882036007e-11
1024.2	1.1277122801630288e-11	4.778636407334107e-11	4.141250024089052e-11	2.6496307671492894e-11
1029.61	1.1245563692815867e-11	4.7657137514595594e-11	4.1320349381898116e-11	2.6430638571400224e-11
1035.02	1.1184455090236461e-11	4.739997704716241e-11	4.107119064169794e-11	2.6280639098698773e-11
1040.42	1.1151458282384738e-11	4.7273445181891595e-11	4.112400149446108e-11	2.6257673354134983e-11
1045.83	1.1236118799331472e-11	4.76333141121761e-11	4.148990346282379e-11	2.6472010523980752e-11
1051.23	1.1130909488397665e-11	4.7182078491670175e-11	4.0941565699493124e-11	2.6178348532550533e-11
1056.66	1.1116631384433076e-11	4.713978695430277e-11	4.088522666429655e-11	2.6152665712862493e-11
1062.06	1.1113869205639083e-11	4.7114911251270494e-11	4.081539899953795e-11	2.6122523451287026e-11
1067.47	1.1075532805110472e-11	4.695631323125678e-11	4.067269670342692e-11	2.6033626066463522e-11
1072.87	1.1041534842089188e-11	4.681757244649361e-11	4.060196726942567e-11	2.5971645622183603e-11
1078.28	1.1076766864858713e-11	4.695316690237029e-11	4.074831837379695e-11	2.6053607188136367e-11
1083.7	1.101790452027089e-11	4.671520348427308e-11	4.0532604255292615e-11	2.5919263365966317e-11
1089.11	1.1067399767735153e-11	4.69511561175679e-11	4.073961871487633e-11	2.6053901962317904e-11
