Mass	Acetylene	Ethylene	Ethane	ethanol
1.0	0.0	0.0	0.0	0.0
2.0	0.0	0.0	0.0	0.0
12.0	4.46e-09	1.79e-09	5.24e-10	0.2689377252584476
13.0	1.37e-08	3.04e-09	1.1e-09	1.9541574531124157
14.0	6.96e-10	6.41e-09	3.93e-09	2.1144419033727964
15.0	4.62e-11	6.38e-10	5.79e-09	9.971885591162781
16.0	1e-10	1.37e-10	1.27e-10	0.0
17.0	7.29e-10	2.15e-10	4.48e-11	1.0937217497430933
18.0	0.0	0.0	0.0	0.8687662956893768
19.0	0.0	0.0	0.0	4.430178511719974
20.0	0.0	0.0	0.0	0.0
21.0	-1.75e-13	-4.14e-13	2.68e-12	0.0
22.0	4.61e-12	6.68e-13	2.41e-12	0.0
24.0	1.3e-08	3.96e-09	7.64e-10	0.9132897966516542
25.0	4.57e-08	1.22e-08	3.83e-09	3.5734486005384847
26.0	2.07e-07	7.42e-08	2.33e-08	13.78244953988475
27.0	4.3e-09	7.56e-08	3.33e-08	29.962900754982837
28.0	2.09e-09	1.22e-07	1.03e-07	4.367764998531424
29.0	2.9e-11	2.48e-09	2.19e-08	35.407835707023544
30.0	6.91e-12	2.22e-11	2.16e-08	8.912126632416982
31.0	0.0	0.0	0.0	100.0
32.0	0.0	0.0	0.0	0.0
33.0	0.0	0.0	0.0	0.2414144174953219
34.0	0.0	0.0	0.0	0.0
36.0	0.0	0.0	0.0	0.0
37.0	0.0	0.0	0.0	0.0
38.0	0.0	0.0	0.0	0.0
39.0	0.0	0.0	0.0	-0.0
40.0	0.0	0.0	0.0	-0.0
41.0	0.0	0.0	0.0	-0.0
42.0	0.0	0.0	0.0	-0.0
43.0	0.0	0.0	0.0	-0.0
44.0	0.0	0.0	0.0	-0.0
45.0	0.0	0.0	0.0	-0.0
46.0	0.0	0.0	0.0	-0.0
47.0	0.0	0.0	0.0	-0.0
48.0	0.0	0.0	0.0	-0.0
49.0	0.0	0.0	0.0	-0.0
50.0	0.0	0.0	0.0	-0.0
51.0	0.0	0.0	0.0	-0.0
52.0	0.0	0.0	0.0	-0.0
53.0	0.0	0.0	0.0	-0.0
54.0	0.0	0.0	0.0	-0.0
55.0	0.0	0.0	0.0	-0.0
56.0	0.0	0.0	0.0	-0.0
57.0	0.0	0.0	0.0	-0.0
58.0	0.0	0.0	0.0	-0.0
59.0	0.0	0.0	0.0	-0.0
60.0	0.0	0.0	0.0	-0.0
61.0	0.0	0.0	0.0	-0.0
62.0	0.0	0.0	0.0	-0.0
63.0	0.0	0.0	0.0	-0.0
64.0	0.0	0.0	0.0	-0.0
65.0	0.0	0.0	0.0	-0.0
66.0	0.0	0.0	0.0	-0.0
67.0	0.0	0.0	0.0	-0.0
68.0	0.0	0.0	0.0	-0.0
69.0	0.0	0.0	0.0	-0.0
70.0	0.0	0.0	0.0	-0.0
71.0	0.0	0.0	0.0	-0.0
72.0	0.0	0.0	0.0	-0.0
73.0	0.0	0.0	0.0	-0.0
74.0	0.0	0.0	0.0	-0.0
75.0	0.0	0.0	0.0	-0.0
84.0	0.0	0.0	0.0	-0.0
85.0	0.0	0.0	0.0	-0.0
86.0	0.0	0.0	0.0	-0.0
87.0	0.0	0.0	0.0	-0.0
88.0	0.0	0.0	0.0	-0.0
89.0	0.0	0.0	0.0	-0.0
90.0	0.0	0.0	0.0	-0.0
