Time	Acetylene Concentration(bar)	Ethylene Concentration(bar)	Ethane Concentration(bar)
747.187	0.001330496731098095	0.003315083585703354	0.0024246051421607964
751.547	0.009243408432216091	0.02403582773295071	0.012846606901418624
756.016	0.010014408040291686	0.026011113330062535	0.014003921676988827
760.625	0.003558116791355859	0.00922030943835914	0.005049982926029048
765.266	0.001298392356393996	0.0033624410213790932	0.0018557795113014397
770.078	0.00047289176274895484	0.001224463628578046	0.0006773863944572112
775.078	0.00016952328592729506	0.00043977552298105847	0.00024376009450855572
780.25	5.534120825195576e-05	0.0001402881090966941	7.319647538339467e-05
785.375	1.9984288530075907e-05	4.843827635275087e-05	2.258156503871656e-05
790.609	1.1748077379633442e-05	2.4144670197671998e-05	1.1964995410111784e-05
796.031	9.3441242004719e-06	1.4944377605127599e-05	4.533080942047978e-06
801.437	9.265237659484617e-06	1.5025613263734836e-05	3.768389242707196e-06
806.844	9.249701044369658e-06	1.5046999753029652e-05	2.765271403348979e-06
812.25	9.528798676821187e-06	1.615605146381556e-05	2.4384128801962473e-06
817.656	9.071236866089615e-06	1.4328926374128356e-05	2.5018572782935214e-06
823.062	9.302145494915905e-06	1.5641945827588462e-05	2.1005731132378935e-06
828.484	8.968819173781391e-06	1.3879617710089944e-05	2.17698759679076e-06
833.891	9.176479307366395e-06	1.4900962661505198e-05	2.4866477955942007e-06
839.297	8.812095358626167e-06	1.3453135206225827e-05	1.96465794611063e-06
844.703	9.307370716052842e-06	1.5942736870990336e-05	1.732357751743074e-06
850.109	8.949921718099237e-06	1.4079379951953528e-05	1.7455877433780043e-06
855.531	8.821004666232389e-06	1.356099680188074e-05	1.9672699182566986e-06
860.937	8.787820092107334e-06	1.3345377351448095e-05	1.7848187106880776e-06
866.328	8.887940398039574e-06	1.3841171883201194e-05	1.642159400749004e-06
871.734	8.792258923951756e-06	1.3540772766279189e-05	1.7104491017402739e-06
877.156	8.871271477506772e-06	1.3974316763113981e-05	1.6330383990642162e-06
882.562	9.312374237418908e-06	1.631445478106097e-05	1.604068723051115e-06
887.969	9.135082279345199e-06	1.52216116011822e-05	1.6586745053486924e-06
893.375	8.933795148544738e-06	1.442733111918975e-05	1.5551030717962205e-06
898.781	9.311668364752592e-06	1.6351264337712414e-05	1.5557962191367532e-06
904.187	9.53557399666884e-06	1.7059950512223913e-05	1.5989861296707813e-06
909.594	0.01036783923439943	0.02728802823928844	0.018455925754286118
915.0	0.06175179180166332	0.1606451656680854	0.08576203888286878
920.406	0.030837793636857836	0.08031978119966258	0.04391433360982572
925.297	0.0356231281708874	0.09290942253037025	0.05091415550425872
929.594	0.012882336835064618	0.03283625499531993	0.01857813320567854
933.875	0.04073980007133345	0.106433016359189	0.06392827664233536
938.297	0.03425695740956679	0.08883100047729087	0.047820556318577644
942.734	0.021963643358080476	0.0572505035914048	0.03271747255134382
947.094	0.028029523242859424	0.07286201205757686	0.039876452534194196
951.594	0.012002490460101581	0.031163011653394652	0.016886533378224402
956.125	0.004430707057037585	0.01149916692627405	0.006199625031912172
960.844	0.0016378842307319323	0.004246700182295841	0.0023395912024233518
965.719	0.0005719096819958248	0.001481562203474868	0.0008300539272855414
970.687	0.00019992683274084195	0.0005174907480298733	0.00028348793850580076
975.797	6.927574715438874e-05	0.00017777272427552934	9.427148550593216e-05
981.062	2.3988323070453925e-05	5.96565784559465e-05	2.857068434503452e-05
986.391	1.1820440358834575e-05	2.4292173672502317e-05	1.3539073907839381e-05
991.734	9.818860061944552e-06	1.7598375656724897e-05	4.704747152664463e-06
997.156	9.055808510892494e-06	1.4421729496921344e-05	2.9650497541374813e-06
1002.56	8.889519169528326e-06	1.3864504849316018e-05	2.677076402832498e-06
1007.97	8.82717029320583e-06	1.3601314765181265e-05	2.2707031037168733e-06
1013.37	8.805594309518603e-06	1.348636747353661e-05	2.074644296515086e-06
1018.78	8.84271461790514e-06	1.3807974134446786e-05	2.5920953637129116e-06
1024.2	8.75580128954324e-06	1.3381263211681366e-05	2.049008507655735e-06
1029.61	8.819793461017765e-06	1.3746427036204661e-05	2.6769500754242634e-06
1035.02	8.763684295362078e-06	1.3543564898151186e-05	2.9272304325012783e-06
1040.42	9.009083951674324e-06	1.4875445863908601e-05	2.100656007089602e-06
1045.83	9.157493402918588e-06	1.5381679393545454e-05	1.7295095058461285e-06
1051.23	8.75857852762304e-06	1.3767732542359131e-05	1.7777573191897822e-06
1056.66	8.722862423157926e-06	1.3641150941652949e-05	1.6361462398692468e-06
1062.06	8.621810360143695e-06	1.3128113625612602e-05	1.8551657561381967e-06
1067.47	8.583619136108856e-06	1.3055375643946534e-05	1.9269526566860693e-06
1072.87	8.662273563498063e-06	1.3514966893908671e-05	1.6527259524030828e-06
1078.28	8.744758949922561e-06	1.3768851557204677e-05	1.5558793388845764e-06
1083.7	8.67338743679634e-06	1.3641789671698623e-05	1.4970159013373844e-06
1089.11	8.750678171615342e-06	1.3880167724800697e-05	1.4994905020826758e-06
