Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	ethanol Concentration Relative to CO
747.187	1.0717226432179774e-10	-1.951090961738782e-09	4.8195224547534823e-08	-1.0557482510111853e-09
751.547	3.822997740692376e-11	-6.828819099371067e-10	1.752434572781399e-08	-4.0200943918443024e-10
756.016	2.631812757570068e-11	-4.194784175609001e-10	6.7969836898208884e-09	-4.639095281468171e-10
760.625	1.0775702905034142e-11	-2.8048638362052124e-10	2.9263743556519405e-09	-5.048142132425547e-10
765.266	3.866767270697173e-12	-2.3110273284937003e-10	1.5335283070409498e-09	-5.148121118464721e-10
770.078	8.504846045848205e-13	-2.0529701719009749e-10	1.034807501678878e-09	-5.16999649421527e-10
775.078	2.0156236313293844e-12	-2.0651746646789458e-10	8.615651173571428e-10	-5.172303927017737e-10
780.25	6.19880775350482e-14	-2.006268820306563e-10	7.982928264897275e-10	-5.17498331865142e-10
785.375	1.559371023872231e-12	-2.0007726619257549e-10	7.715699551985975e-10	-5.077743122407422e-10
790.609	1.333746206201449e-12	-2.008020816531792e-10	7.62834177118641e-10	-5.077666011089787e-10
796.031	1.0884133556752657e-12	-1.9875160428552484e-10	7.535379164013315e-10	-5.056779952141767e-10
801.437	6.44475211539463e-13	-1.9606384543876165e-10	7.455568910251405e-10	-5.01980038134288e-10
806.844	1.1093204189808022e-12	-1.983170542339876e-10	7.456593394208038e-10	-5.030292053917904e-10
812.25	1.1689319470918626e-12	-1.9927807183428492e-10	7.483767929117042e-10	-5.060662540756114e-10
817.656	8.204131093742466e-13	-1.957809382688687e-10	7.378113532258692e-10	-5.006115734432108e-10
823.062	1.026399373107324e-12	-1.9491472458172365e-10	7.333027385182524e-10	-4.971650101238407e-10
828.484	7.170945622683644e-13	-1.9544989780034097e-10	7.356465906421319e-10	-4.997888484574985e-10
833.891	5.746617679332849e-13	-1.9415776943358202e-10	7.326386473847648e-10	-4.989041641500016e-10
839.297	8.675466569316768e-13	-1.9417686782417485e-10	7.270323992927472e-10	-4.929130919501076e-10
844.703	4.115152949845952e-13	-1.917020102255284e-10	7.211124907176013e-10	-4.903792619565722e-10
850.109	6.33620661290944e-13	-1.9342573939972593e-10	7.26373420054662e-10	-4.949342854948686e-10
855.531	8.2539062278219e-13	-1.9352933275362826e-10	7.245899699813135e-10	-4.929302626864553e-10
860.937	9.420897441079631e-13	-1.9394935041161537e-10	7.249584594529318e-10	-4.930614335180183e-10
866.328	8.647361629923696e-13	-1.9341556357598692e-10	7.244901581201732e-10	-4.934831944260466e-10
871.734	6.724919716327208e-13	-1.920549427933503e-10	7.195477906740284e-10	-4.903445913144911e-10
877.156	7.107627000496854e-13	-1.9173553482948495e-10	7.192675679986307e-10	-4.910434672772508e-10
882.562	9.385547887382403e-13	-1.903297285257418e-10	7.124112239453179e-10	-4.867791034360369e-10
887.969	7.528779961525574e-13	-1.9210306261902633e-10	7.195900071113627e-10	-4.906538498921774e-10
893.375	4.708431481615659e-13	-1.9005113604021343e-10	7.140411439555364e-10	-4.88392210489505e-10
898.781	5.899443737196361e-13	-1.8896617343853567e-10	7.093406166690067e-10	-4.844570024764532e-10
