Source:	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook
Molecules	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diatomicHydrogen	diethylether	Ethane	ethanol	Ethylene	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water	Acetylene
Electron Numbers	40	42	32	40	40	40	38	38	32	32	40	40	48	40	40	40	48	30	24	32	32	34	22	14	2	42	18	26	16	48	50	32	10	42	26	24	10	14
ionizationEfficiencies	2.1142857142857143	2.2	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.0285714285714285	2.0285714285714285	1.7714285714285714	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.457142857142857	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.457142857142857	1.685714285714286	1.4285714285714284	1.7714285714285714	1.7714285714285714	1.8571428571428572	1.44	1.07	0.43	2.2	1.1714285714285713	1.5142857142857142	1.0857142857142859	2.457142857142857	2.5428571428571427	1.7714285714285714	0.8285714285714285	2.2	1.5142857142857142	1.4285714285714284	0.97	1.0
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	unknown	unknown	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	MadixAndKo
Molecular Mass	72.11	74.12	56.11	70.13	72.11	72.11	70.09	70.09	56.1063	56.11	70.13	70.13	86.13	70.13	70.13	70.13	86.13	54.09	44.05	60.05	58.08	58.12	44.01	28.01	2.02	74.12	30.07	46.07	28.05	88.11	86.18	56.11	16.04	72.15	44.1	42.08	18.02	26.0373
1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.600160016001600294e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.100210021002100191e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.200320032003200588e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	1.000100010001000184e-01	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.000400040004000735e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	1.000100010001000184e-01	3.000300030003000273e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.700270027002700246e-01	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	4.000400040004000735e-01	9.000900090009000820e-01	6.000600060006000547e-01	0.000000000000000000e+00	1.000100010001000184e-01	8.710871087108710498e+00	4.700470047004700724e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.000400040004000735e-01	2.000200020002000367e-01	5.000500050005001196e-01	0.000000000000000000e+00	1.000100010001000184e-01	3.000300030003000273e-01	3.800380038003800642e+00	0.000000000000000000e+00	3.000300030003000273e-01	9.000900090009000820e-01	0.000000000000000000e+00	7.000700070007001008e-01
1.300000000000000000e+01	3.000300030003000273e-01	8.500850085008501145e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.400540054005400492e-01	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	3.000300030003000273e-01	2.990299029902990569e+00	2.090209020902090487e+00	8.900890089008901551e-01	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000239e+00	1.390139013901390275e+00	9.000900090009000820e-01	0.000000000000000000e+00	1.000100010001000184e-01	4.000400040004000735e-01	1.069106910691069245e+01	0.000000000000000000e+00	6.000600060006000547e-01	1.400140014001400202e+00	0.000000000000000000e+00	3.200320032003200588e+00
1.400000000000000000e+01	1.600160016001600294e+00	3.050305030503050574e+00	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	2.260226022602260354e+00	0.000000000000000000e+00	1.800180018001800164e+00	8.000800080008001469e-01	2.000200020002000367e-01	2.000200020002000367e-01	2.000200020002000367e-01	2.000200020002000367e-01	1.000100010001000184e-01	1.000100010001000184e-01	8.000800080008001469e-01	3.000300030003000273e-01	5.000500050005001196e-01	1.089108910891089188e+01	4.890489048904890446e+00	4.550455045504550711e+00	8.000800080008001469e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01	3.000300030003000273e+00	1.450145014501450280e+00	2.100210021002100191e+00	1.100110011001100174e+00	6.000600060006000547e-01	1.500150015001500137e+00	2.042204220422042127e+01	1.000100010001000184e-01	2.200220022002200349e+00	3.400340034003400458e+00	0.000000000000000000e+00	1.000100010001000184e-01
